TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
     1       1              inf   1.00000000e+00  
     1       2   8.84813341e+03   9.50881368e-01  
     1       3   8.37876514e-01   8.84725622e-01  
     1       4   8.55427675e-01   4.47442042e-01  
     1       5   2.44755634e-01   2.53161148e-01  
     1       6   5.95610046e-03   2.06780307e-01  
     1       7   4.51150242e-03   2.01790286e-01  
     1       8   4.37695388e-03   2.09763113e-01  
     1       9   1.52068931e-03   1.45218721e-01  
     1      10   1.45920096e-04   1.38120915e-01  
     1      11   9.70331331e-04   9.39926297e-02  
     1      12   3.05143820e-04   1.31209190e-02  
     1      13   1.64874992e-04   5.96263481e-03  
     2       1   7.46325566e-01   2.53810072e+01  
     2       2   3.00663990e-02   1.79108829e+01  
     2       3   4.13026664e-02   2.90594554e+01  
     2       4   1.88948039e-03   2.09373540e+01  
     2       5   2.16812913e-03   1.49353668e+01  
     2       6   6.93907008e-04   6.94400129e+00  
     2       7   1.90760432e-04   3.11953085e+00  
     2       8   9.51046409e-05   6.35267931e-01  
     2       9   5.81697576e-05   4.64142148e-01  
     2      10   5.70713406e-05   4.94113735e-01  
     2      11   5.79038800e-05   5.01446936e-01  
     2      12   2.38062085e-05   6.74504572e-01  
     2      13   4.85446669e-05   3.81473367e-01  
     2      14   1.18647647e-05   6.01748723e-02  
     2      15   3.40015503e-06   1.40522927e-01  
     2      16   1.40555291e-06   9.44539769e-03  
     3       1   4.24096060e-01   5.77038943e-01  
     3       2   8.85018874e-04   1.40475670e-01  
     3       3   7.90774075e-04   4.80892575e+00  
     3       4   6.51629264e-05   2.62829871e+00  
     3       5   8.13840197e-05   4.82540223e+00  
     3       6   3.02241045e-05   5.17853431e+00  
     3       7   5.07681423e-05   4.60060218e+00  
     3       8   9.85508931e-06   3.45566779e+00  
     3       9   1.36994631e-05   2.02844624e+00  
     3      10   6.51425673e-06   3.40842400e-01  
     3      11   2.00063952e-06   1.16593532e-01  
     3      12   2.03710637e-07   2.30488874e-02  
     3      13   7.52803411e-08   2.17251354e-03  
     4       1   2.91569492e-01   1.56052399e-01  
     4       2   1.00217971e-04   9.14595034e-01  
     4       3   4.48164758e-05   4.16493686e+00  
     4       4   2.52476661e-05   4.79134390e+00  
     4       5   1.96414484e-05   3.52528111e+00  
     4       6   1.65337289e-05   2.89566104e+00  
     4       7   9.72917235e-06   1.54268498e+00  
     4       8   1.37028644e-05   4.46528559e-01  
     4       9   1.61858719e-06   3.68737255e-02  
     4      10   4.74141693e-07   4.91153414e-02  
     4      11   2.84319209e-07   2.32335708e-02  
     4      12   1.10649303e-08   9.05653474e-03  
     5       1   2.23298746e-01   1.55974579e-01  
     5       2   4.69388358e-04   3.49709944e+00  
     5       3   2.47401785e-04   1.00722044e+01  
     5       4   9.62079643e-05   2.80257975e+01  
     5       5   4.24775672e-04   2.61016377e+00  
     5       6   6.02432328e-04   1.10957522e+01  
     5       7   3.76904648e-04   5.45513997e+01  
     5       8   2.33545818e-04   4.68107178e+01  
     5       9   2.45476742e-04   2.55933809e+01  
     5      10   4.49991493e-04   3.70328708e+00  
     5      11   2.81324550e-04   2.78135895e+01  
     5      12   1.70443520e-04   1.76558832e+01  
     5      13   5.43028729e-05   3.90455025e+01  
     5      14   1.57834242e-04   7.51071607e+00  
     5      15   8.21192245e-06   6.15410181e-01  
     5      16   1.73213597e-06   7.00331981e-01  
     5      17   1.54625028e-06   9.85305301e-01  
     5      18   1.97046882e-06   4.35287115e-01  
     5      19   4.52283119e-07   7.66278133e-02  
     5      20   7.60359501e-07   1.13551836e-01  
     5      21   8.66374719e-07   6.70379876e-02  
     5      22   1.67092851e-07   3.87424476e-02  
     5      23   5.48439958e-09   2.89190799e-03  
     6       1   1.86096460e-01   8.21856590e-02  
