TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
     1      13      13       1      11       1       0  
     2      29      16       1      20       6       0  
     3      42      13       1      14      18       0  
     4      54      12       1      15      10       0  
     5      77      23       1      15      22       0  
     6      90      13       1      18       9       0  
     7     105      15       1      16      16       0  
     8     121      16       1      19      12       0  
     9     141      20       1      20      18       0  
    10     155      14       1      22      11       0  
    11     171      16       1      25      12       0  
    12     193      22       1      25      21       0  
    13     208      15       1      28      11       0  
    14     226      18       1      24      21       0  
    15     244      18       1      25      16       0  
    16     257      13       1      25      12       0  
    17     270      13       1      27      10       0  
    18     284      14       1      27      13       0  
    19     297      13       1      27      12       0  
    20     309      12       1      26      12       0  
    21     323      14       1      29      10       0  
    22     337      14       1      29      13       0  
    23     352      15       1      28      15       0  
    24     367      15       1      28      14       0  
    25     384      17       1      29      15       0  
    26     399      15       1      31      12       0  
    27     412      13       1      30      13       0  
    28     429      17       1      28      18       0  
    29     444      15       1      29      10       3  
    30     462      18       1      24      20       2  
    31     474      12       1      26       9       0  
    32     491      17       1      23      19       0  
    33     509      18       1      28      12       0  
    34     536      27       1      26      27       1  
    35     553      17       1      26      16       0  
    36     569      16       1      27      14       0  
    37     588      19       1      26      19       0  
    38     604      16       1      26      15       0  
    39     619      15       1      26      14       0  
    40     635      16       1      28      13       0  
    41     651      16       1      24      19       0  
    42     669      18       1      23      18       0  
    43     687      18       1      27      13       0  
    44     700      13       1      26      13       0  
    45     712      12       1      24      12       1  
    46     730      18       1      28      13       0  
    47     746      16       1      26      17       0  
    48     762      16       1      27      13       1  
    49     776      14       1      28      12       0  
    50     789      13       1      28      12       0  
