TimeWindow  TotalIterations  Iterations  Convergence  
     1      13      13       1  
     2      29      16       1  
     3      42      13       1  
     4      54      12       1  
     5      77      23       1  
     6      90      13       1  
     7     105      15       1  
     8     121      16       1  
     9     141      20       1  
    10     155      14       1  
    11     171      16       1  
    12     193      22       1  
    13     208      15       1  
    14     226      18       1  
    15     244      18       1  
    16     257      13       1  
    17     270      13       1  
    18     284      14       1  
    19     297      13       1  
    20     309      12       1  
    21     323      14       1  
    22     337      14       1  
    23     352      15       1  
    24     367      15       1  
    25     384      17       1  
    26     399      15       1  
    27     412      13       1  
    28     429      17       1  
    29     444      15       1  
    30     462      18       1  
    31     474      12       1  
    32     491      17       1  
    33     509      18       1  
    34     536      27       1  
    35     553      17       1  
    36     569      16       1  
    37     588      19       1  
    38     604      16       1  
    39     619      15       1  
    40     635      16       1  
    41     651      16       1  
    42     669      18       1  
    43     687      18       1  
    44     700      13       1  
    45     712      12       1  
    46     730      18       1  
    47     746      16       1  
    48     762      16       1  
    49     776      14       1  
    50     789      13       1  
